사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2024-05,2호선,0204,을지로4가,12,1,"1,022","1,303","2,355","15,475","5,834","37,284","11,389","76,676","13,418","39,236","16,091","25,598","19,557","26,078","20,605","23,681","22,921","22,462","25,625","21,390","29,281","19,732","35,104","19,186","61,781","20,204","66,146","20,959","29,449","13,812","19,188","9,920","16,135","9,726","12,223","9,547","5,757","6,034","1,195","1,745",0,11,0,0,0,0,2024-06-03 09:43:48
2024-05,2호선,0205,동대문역사문화공원(DDP),279,2,"5,874","1,273","4,540","9,601","7,805","23,414","13,384","49,095","15,807","34,096","17,705","34,525","20,266","32,769","24,672","32,927","26,564","34,040","30,423","34,164","36,999","31,933","42,361","31,192","48,100","32,377","48,995","36,128","33,332","32,980","26,763","25,084","25,546","21,742","22,261","18,952","11,175","11,974","2,236","4,082",3,100,0,0,0,0,2024-06-03 09:43:48
2024-05,2호선,0206,신당,28,1,"6,952","1,363","12,464","9,712","29,921","17,687","51,015","32,897","30,754","23,304","22,055","19,960","20,790","22,245","24,190","22,889","24,257","24,020","24,344","25,373","25,830","27,445","29,026","32,911","32,311","42,102","34,974","58,623","25,354","38,187","20,162","25,090","19,489","22,914","17,083","21,152","8,675","12,983","1,612","4,348",1,22,0,0,0,0,2024-06-03 09:43:48
2024-05,2호선,0207,상왕십리,33,2,"6,043",879,"14,665","6,190","43,795","13,260","67,055","32,042","38,291","19,484","25,888","14,486","22,156","14,198","24,099","16,744","22,480","17,843","20,201","19,604","21,509","22,911","22,750","28,182","26,820","38,104","27,312","55,512","20,243","37,433","13,244","25,246","11,763","23,898","8,018","23,404","3,307","14,032",615,"4,746",0,27,0,0,0,0,2024-06-03 09:43:48
2024-05,2호선,0208,왕십리(성동구청),871,6,"7,171","1,013","10,429","9,582","26,094","14,633","44,308","29,068","29,017","21,063","20,643","17,118","20,549","17,957","24,818","19,757","25,439","21,724","25,188","22,288","27,725","24,189","34,459","28,468","37,939","39,771","38,241","58,785","26,720","36,259","24,923","24,628","28,337","21,840","27,904","21,819","18,161","14,574","4,264","5,679",2,46,0,0,0,0,2024-06-03 09:43:48
2024-05,2호선,0209,한양대,7,0,"1,538",552,"2,960","6,563","5,851","13,855","9,317","71,117","7,107","58,735","9,156","57,124","14,763","20,900","20,746","43,296","18,112","27,176","26,303","25,523","35,087","18,386","46,944","16,408","56,366","20,868","40,605","26,030","22,434","13,647","20,676","9,349","24,477","7,914","20,246","7,073","14,261","5,092","3,470","1,668",1,6,0,0,0,0,2024-06-03 09:43:48
2024-05,2호선,0210,뚝섬,30,1,"3,815","2,784","9,620","19,852","18,720","42,341","27,124","138,139","18,414","92,893","16,894","50,080","19,705","43,013","25,242","42,317","30,997","43,601","36,736","40,904","46,091","40,592","58,063","40,855","88,401","45,009","136,701","52,575","73,644","30,097","55,253","17,383","46,749","14,246","29,826","12,901","11,648","8,410","1,755","2,966",4,57,0,0,0,0,2024-06-03 09:43:48
2024-05,2호선,0211,성수,114,2,"6,312","4,122","9,414","33,307","23,138","73,840","31,278","250,620","25,324","153,026","24,241","95,357","28,473","86,870","38,486","87,978","51,306","91,759","64,449","89,087","78,089","84,795","98,243","81,110","154,720","81,621","252,237","81,973","132,702","48,798","106,926","25,279","83,816","19,297","56,290","16,530","22,975","13,093","3,761","7,602",2,"1,361",0,0,0,0,2024-06-03 09:43:48
2024-05,2호선,0212,건대입구,452,10,"17,846","2,065","24,006","17,320","55,674","26,048","94,805","62,759","67,262","51,000","44,057","50,315","42,934","53,493","49,799","59,943","54,168","65,738","56,906","65,033","62,552","71,660","72,425","83,812","84,393","115,150","92,086","159,117","71,608","110,610","75,105","71,961","80,831","66,875","82,523","60,325","52,432","36,174","9,343","13,490",13,"1,048",0,0,0,0,2024-06-03 09:43:48
2024-05,2호선,0213,구의(광진구청),89,8,"14,149","1,808","28,510","27,662","72,556","17,843","119,078","40,125","74,624","23,166","41,659","21,562","34,326","21,098","36,592","24,670","34,913","28,187","32,047","30,882","33,883","38,050","42,254","44,632","45,292","61,821","45,520","96,394","25,991","70,547","20,775","49,129","18,665","47,002","16,740","44,191","8,896","25,153","1,514","8,604",1,103,0,0,0,0,2024-06-03 09:43:48
